pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
46,2007,Stephane Lasme,University of Massachusetts Amherst,/players/l/lasmest01.html,118,2861,378,635,0,0,255,410,NULL,758,103,88,399,NULL,,1011,.595,NULL,.622,24.2,8.6,6.4,0.9
47,2007,Dominic McGuire,California State University Fresno,/players/m/mcguido01.html,86,2153,284,615,24,95,153,275,NULL,540,172,55,167,NULL,,745,.462,.253,.556,25.0,8.7,6.3,2.0
49,2007,Aaron Gray,University of Pittsburgh,/players/g/grayaa01.html,113,2360,434,789,0,0,241,405,NULL,790,147,41,130,NULL,,1109,.550,NULL,.595,20.9,9.8,7.0,1.3
51,2007,JamesOn Curry,Oklahoma State University,/players/c/curryja01.html,101,NULL,472,1081,197,488,222,293,NULL,289,356,99,24,NULL,,1363,.437,.404,.758,NULL,13.5,2.9,3.5
52,2007,Taurean Green,University of Florida,/players/g/greenta01.html,111,3236,317,791,186,478,354,413,NULL,242,400,124,7,NULL,,1174,.401,.389,.857,29.2,10.6,2.2,3.6
53,2007,Demetris Nichols,Syracuse University,/players/n/nichode01.html,123,3171,471,1113,205,573,197,262,NULL,508,132,120,94,NULL,,1344,.423,.358,.752,25.8,10.9,4.1,1.1
56,2007,Ramon Sessions,University of Nevada Reno,/players/s/sessira01.html,97,2835,306,734,25,80,213,288,NULL,410,478,113,14,NULL,,850,.417,.313,.740,29.2,8.8,4.2,4.9
59,2007,D.J. Strawberry,University of Maryland,/players/s/strawdj01.html,111,2991,398,864,70,212,260,406,NULL,370,317,202,47,NULL,,1126,.461,.330,.640,26.9,10.1,3.3,2.9
1,2008,Derrick Rose,University of Memphis,/players/r/rosede01.html,40,1168,208,436,35,104,146,205,NULL,181,189,48,15,107,NULL,597,.477,.337,.712,29.2,14.9,4.5,4.7
2,2008,Michael Beasley,Kansas State University,/players/b/beaslmi01.html,33,1041,307,577,36,95,216,279,NULL,408,38,42,54,95,NULL,866,.532,.379,.774,31.5,26.2,12.4,1.2
3,2008,O.J. Mayo,University of Southern California,/players/m/mayooj01.html,33,1216,237,536,88,215,122,152,NULL,150,109,51,13,117,NULL,684,.442,.409,.803,36.8,20.7,4.5,3.3
4,2008,Russell Westbrook,University of California Los Angeles,/players/w/westbru01.html,75,1643,230,496,35,99,124,181,NULL,181,191,77,8,96,NULL,619,.464,.354,.685,21.9,8.3,2.4,2.5
5,2008,Kevin Love,University of California Los Angeles,/players/l/loveke01.html,39,1156,227,406,29,82,198,258,NULL,415,75,27,56,78,NULL,681,.559,.354,.767,29.6,17.5,10.6,1.9
7,2008,Eric Gordon,Indiana University,/players/g/gordoer01.html,32,1110,184,425,70,208,231,277,NULL,104,78,42,20,115,NULL,669,.433,.337,.834,34.7,20.9,3.3,2.4
8,2008,Joe Alexander,West Virginia University,/players/a/alexajo01.html,82,2072,367,821,51,173,205,268,NULL,393,160,49,99,80,NULL,990,.447,.295,.765,25.3,12.1,4.8,2.0
