pick,year,name,university,link,g,mp,fg,fga,fg3,fg3a,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg_pct,fg3_pct,ft_pct,mp_per_g,pts_per_g,trb_per_g,ast_per_g
47,2018,Sviatoslav Mykhailiuk,University of Kansas,/players/m/mykhasv01.html,136,3070,422,986,237,579,100,134,93,340,202,97,27,146,227,1181,.428,.409,.746,22.6,8.7,2.5,1.5
48,2018,Keita Bates-Diop,Ohio State University,/players/b/bateske01.html,109,2702,469,993,123,349,211,272,124,621,121,68,128,133,155,1272,.472,.352,.776,24.8,11.7,5.7,1.1
49,2018,Chimezie Metu,University of Southern California,/players/m/metuch01.html,104,2809,495,928,13,43,281,406,191,656,121,74,168,180,261,1284,.533,.302,.692,27.0,12.3,6.3,1.2
50,2018,Alize Johnson,Missouri State,/players/j/johnsal02.html,66,2025,341,746,81,249,219,306,214,735,157,35,20,150,152,982,.457,.325,.716,30.7,14.9,11.1,2.4
51,2018,Tony Carr,Pennsylvania State University,/players/c/carrto01.html,70,2392,386,974,121,306,268,341,55,341,325,52,20,171,141,1161,.396,.395,.786,34.2,16.6,4.9,4.6
52,2018,Vince Edwards,Purdue University,/players/e/edwarvi01.html,138,3957,589,1244,173,441,287,350,265,779,403,69,64,237,277,1638,.473,.392,.820,28.7,11.9,5.6,2.9
53,2018,Devon Hall,University of Virginia,/players/h/hallde01.html,128,3075,305,728,115,296,159,197,44,407,264,73,20,115,183,884,.419,.389,.807,24.0,6.9,3.2,2.1
54,2018,Shake Milton,Southern Methodist University,/players/m/miltosh01.html,87,3019,388,859,190,445,200,253,38,336,337,99,33,159,135,1166,.452,.427,.791,34.7,13.4,3.9,3.9
56,2018,Ray Spalding,University of Louisville,/players/s/spaldra01.html,100,2174,332,596,6,25,143,247,228,630,89,104,111,131,261,813,.557,.240,.579,21.7,8.1,6.3,0.9
57,2018,Kevin Hervey,University of Texas at Arlington,/players/h/herveke01.html,115,3186,631,1435,204,630,317,413,221,921,216,114,55,236,215,1783,.440,.324,.768,27.7,15.5,8.0,1.9
58,2018,Thomas Welsh,University of California Los Angeles,/players/w/welshth01.html,132,3295,532,990,46,113,138,173,311,1035,103,55,143,90,331,1248,.537,.407,.798,25.0,9.5,7.8,0.8
59,2018,George King,University of Colorado,/players/k/kingge03.html,127,2866,444,1001,181,451,225,308,183,681,88,50,37,196,224,1294,.444,.401,.731,22.6,10.2,5.4,0.7
60,2018,Kostas Antetokounmpo,University of Dayton,/players/a/antetko01.html,29,438,58,101,2,15,33,64,24,83,13,7,31,39,66,151,.574,.133,.516,15.1,5.2,2.9,0.4
1,2017,Markelle Fultz,University of Washington,/players/f/fultzma01.html,25,892,209,439,52,126,109,168,33,143,148,40,30,80,63,579,.476,.413,.649,35.7,23.2,5.7,5.9
2,2017,Lonzo Ball,University of California Los Angeles,/players/b/balllo01.html,36,1263,189,343,80,194,66,98,33,216,274,66,28,89,65,524,.551,.412,.673,35.1,14.6,6.0,7.6
3,2017,Jayson Tatum,Duke University,/players/t/tatumja01.html,29,966,165,365,40,117,118,139,39,213,62,39,33,76,86,488,.452,.342,.849,33.3,16.8,7.3,2.1
4,2017,Josh Jackson,University of Kansas,/players/j/jacksjo02.html,35,1077,220,429,34,90,98,173,81,258,104,59,37,97,104,572,.513,.378,.566,30.8,16.3,7.4,3.0
5,2017,De'Aaron Fox,University of Kentucky,/players/f/foxde01.html,36,1064,214,447,17,69,156,212,21,143,165,53,7,87,90,601,.479,.246,.736,29.6,16.7,4.0,4.6
6,2017,Jonathan Isaac,Florida State University,/players/i/isaacjo01.html,32,839,130,256,31,89,92,118,56,251,37,37,49,48,70,383,.508,.348,.780,26.2,12.0,7.8,1.2
7,2017,Lauri Markkanen,University of Arizona,/players/m/markkla01.html,37,1140,185,376,69,163,137,164,88,266,32,15,19,40,73,576,.492,.423,.835,30.8,15.6,7.2,0.9
9,2017,Dennis Smith,North Carolina State University,/players/s/smithde03.html,32,1114,191,420,55,153,143,200,26,146,197,62,14,108,67,580,.455,.359,.715,34.8,18.1,4.6,6.2
10,2017,Zach Collins,Gonzaga University,/players/c/colliza01.html,39,673,135,207,10,21,110,148,66,230,16,18,69,60,105,390,.652,.476,.743,17.3,10.0,5.9,0.4
11,2017,Malik Monk,University of Kentucky,/players/m/monkma01.html,38,1218,251,558,104,262,148,180,12,95,87,36,19,75,72,754,.450,.397,.822,32.1,19.8,2.5,2.3
12,2017,Luke Kennard,Duke University,/players/k/kennalu01.html,73,2275,378,820,143,373,248,286,78,317,146,65,19,87,152,1147,.461,.383,.867,31.2,15.7,4.3,2.0
13,2017,Donovan Mitchell,University of Louisville,/players/m/mitchdo01.html,65,1689,265,634,98,298,130,165,71,269,145,95,20,86,166,758,.418,.329,.788,26.0,11.7,4.1,2.2
14,2017,Bam Adebayo,University of Kentucky,/players/a/adebaba01.html,38,1145,170,284,0,0,154,236,118,304,32,26,57,64,99,494,.599,-1,.653,30.1,13.0,8.0,0.8
15,2017,Justin Jackson,University of North Carolina,/players/j/jacksju01.html,118,3430,623,1353,170,500,232,326,181,481,312,76,45,164,179,1648,.460,.340,.712,29.1,14.0,4.1,2.6
16,2017,Justin Patton,Creighton University,/players/p/pattoju01.html,35,885,200,296,8,15,45,87,59,218,41,30,50,60,96,453,.676,.533,.517,25.3,12.9,6.2,1.2
17,2017,D.J. Wilson,University of Michigan,/players/w/wilsodj01.html,69,1337,192,366,49,135,58,71,62,227,58,25,70,52,97,491,.525,.363,.817,19.4,7.1,3.3,0.8
18,2017,T.J. Leaf,University of California Los Angeles,/players/l/leaftj01.html,35,1048,235,381,27,58,72,106,78,287,85,22,39,52,89,569,.617,.466,.679,29.9,16.3,8.2,2.4
19,2017,John Collins,Wake Forest University,/players/c/collijo01.html,64,1324,315,524,0,1,229,314,176,446,24,30,75,91,180,859,.601,.000,.729,20.7,13.4,7.0,0.4
20,2017,Harry Giles,Duke University,/players/g/gilesha01.html,26,300,45,78,0,0,12,24,41,100,9,9,17,18,58,102,.577,-1,.500,11.5,3.9,3.8,0.3
22,2017,Jarrett Allen,University of Texas at Austin,/players/a/allenja01.html,33,1061,179,316,0,7,84,149,100,278,27,19,51,84,68,442,.566,.000,.564,32.2,13.4,8.4,0.8
23,2017,OG Anunoby,Indiana University,/players/a/anunoog01.html,50,868,134,238,27,74,47,90,70,177,41,48,47,54,85,342,.563,.365,.522,17.4,6.8,3.5,0.8
24,2017,Tyler Lydon,Syracuse University,/players/l/lydonty01.html,71,2349,278,584,98,245,169,209,145,527,111,77,116,106,184,823,.476,.400,.809,33.1,11.6,7.4,1.6
26,2017,Caleb Swanigan,Purdue University,/players/s/swanica01.html,69,2014,352,703,59,157,231,304,150,718,168,27,36,208,172,994,.501,.376,.760,29.2,14.4,10.4,2.4
27,2017,Kyle Kuzma,University of Utah,/players/k/kuzmaky01.html,96,2013,372,735,51,169,171,270,155,532,141,31,35,151,151,966,.506,.302,.633,21.0,10.1,5.5,1.5
28,2017,Tony Bradley,University of North Carolina,/players/b/bradlto01.html,38,553,102,178,0,0,65,105,98,195,23,10,22,25,69,269,.573,-1,.619,14.6,7.1,5.1,0.6
29,2017,Derrick White,University of Colorado,/players/w/whitede01.html,34,1116,205,404,57,144,148,182,35,139,148,42,49,81,72,615,.507,.396,.813,32.8,18.1,4.1,4.4
