Player,Season,School,Conf,G,MP,FG,FGA,FGP,2P,2PA,2PP,3P,3PA,3PP,FT,FTA,FTP,TRB,AST,STL,BLK,TOV,PF,PTS,VORP
"Carlos Boozer","2001-02","Duke","ACC","35","993","9.3","13.9","0.665","9.3","13.9","0.667","0.0","0.0","0.000","7.2","9.5","0.754","12.2","1.5","1.2","0.8","2.6","4.3","25.7","22.1"
"Carmelo Anthony","2002-03","Syracuse","Big East","35","1274","8.7","19.2","0.453","6.9","14.0","0.496","1.8","5.2","0.337","5.3","7.5","0.706","11.0","2.4","1.7","0.9","2.4","2.4","24.4","29.4"
"Chris Bosh","2002-03","Georgia Tech","ACC","31","960","7.0","12.5","0.560","6.1","10.6","0.575","0.9","1.9","0.478","5.3","7.3","0.730","11.6","1.6","1.3","2.8","3.0","3.0","20.2","27.5"
"Dwyane Wade","2001-02","Marquette","CUSA","32","935","9.5","19.6","0.487","8.8","17.4","0.505","0.8","2.2","0.346","4.6","6.6","0.690","9.0","4.7","3.4","1.5","4.1","3.4","24.4","57.8"
"Dwyane Wade","2002-03","Marquette","CUSA","33","1058","9.5","18.9","0.501","9.0","17.3","0.519","0.5","1.7","0.318","7.3","9.4","0.779","7.9","5.5","2.7","1.6","4.0","2.9","26.8","57.8"
"Chris Kaman","2000-01","Central Michigan","MAC","28","520","8.1","14.1","0.574","8.1","14.1","0.574","0.0","0.0",NULL,"4.8","6.9","0.700","10.4","0.5","1.1","3.5","3.9","5.2","21.0","0.0"
"Chris Kaman","2001-02","Central Michigan","MAC","24","604","6.4","10.5","0.614","6.4","10.5","0.614","0.0","0.0",NULL,"5.9","9.1","0.650","13.2","1.5","0.6","2.6","4.6","4.5","18.7","0.0"
"Chris Kaman","2002-03","Central Michigan","MAC","31","1055","9.3","14.9","0.622","9.3","14.9","0.622","0.0","0.0",NULL,"7.8","10.4","0.749","14.1","1.4","0.7","3.7","5.2","3.8","26.3","0.0"
"David West","1999-00","Xavier","A-10","33","970","5.9","11.1","0.532","5.9","11.1","0.532","0.0","0.0",NULL,"4.1","6.2","0.667","12.4","2.4","2.1","1.4","2.4","3.7","15.9","24.5"
"David West","2000-01","Xavier","A-10","29","978","7.1","12.9","0.551","7.1","12.9","0.552","0.0","0.0","0.000","6.9","9.3","0.740","12.9","2.4","1.7","2.5","3.2","3.3","21.1","24.5"
"David West","2001-02","Xavier","A-10","32","1094","7.2","13.4","0.536","6.8","12.4","0.553","0.3","1.0","0.321","6.8","8.8","0.768","11.4","1.8","1.4","2.9","3.6","3.1","21.4","24.5"
"David West","2002-03","Xavier","A-10","32","1168","7.3","14.2","0.513","7.0","13.3","0.524","0.3","0.9","0.346","7.2","8.8","0.816","12.9","3.5","1.4","1.8","2.9","3.3","22.1","24.5"
